num,name,website,buildings
162,ГК АМ Девелопмент,https://www.cian.ru/zastroishchik-gk-am-development-7711/,18 домов в 3 ЖК
163,СЗ Киноцентр,https://www.cian.ru/zastroishchik-sz-kinotsentr-15638/,4 дома в 1 ЖК
164,Арткласс Строй,https://www.cian.ru/zastroishchik-artklass-stroi-18479/,1 дом в 1 ЖК
165,СЗ ДЖИ ТРИ ИЛЬИНСКИЙ,https://www.cian.ru/zastroishchik-sz-dzhi-tri-ilinskii-18283/,2 дома в 1 ЖК
166,СЗ СК Ключ,https://www.cian.ru/zastroishchik-sz-sk-kliuch-16304/,3 дома в 1 ЖК
167,СЗ САС,https://www.cian.ru/zastroishchik-sz-sas-8468/,20 домов в 4 ЖК
168,СЗ КАНТРИ КЛАБ,https://www.cian.ru/zastroishchik-sz-kantri-klab-19364/,7 домов в 1 ЖК
169,СЗ Стройтехинвест,https://www.cian.ru/zastroishchik-sz-stroitekhinvest-8735/,5 домов в 3 ЖК
170,Бэсткон,https://www.cian.ru/zastroishchik-bestkon-6054/,76 домов в 17 ЖК
171,Балтийская Строительная Компания,https://www.cian.ru/zastroishchik-baltiiskaia-stroitelnaia-kompaniia-8647/,1 дом в 1 ЖК
172,СЗ Белстрой,https://www.cian.ru/zastroishchik-sz-belstroi-15233/,7 домов в 1 ЖК
173,Проксима-1,https://www.cian.ru/zastroishchik-proksima-1-7757/,3 дома в 1 ЖК
174,ГК Волжский Домостроительный Комбинат,https://www.cian.ru/zastroishchik-gk-volzhskii-domostroitelnyi-kombinat-14485/,7 домов в 5 ЖК
175,Стройспецмонтаж,https://www.cian.ru/zastroishchik-stroispetsmontazh-8821/,5 домов в 1 ЖК
176,СЗ Полёт,https://www.cian.ru/zastroishchik-sz-poliot-9441/,10 домов в 2 ЖК
177,СЗ Экран,https://www.cian.ru/zastroishchik-sz-ekran-16515/,10 домов в 1 ЖК
178,Автотех,https://www.cian.ru/zastroishchik-avtotekh-16731/,11 домов в 1 ЖК
179,ТК Алладин,https://www.cian.ru/zastroishchik-tk-alladin-16229/,1 дом в 1 ЖК
180,НеоСтрой,https://www.cian.ru/zastroishchik-neostroi-15256/,1 дом в 1 ЖК
181,Era One Holding,https://www.cian.ru/zastroishchik-era-one-holding-18137/,2 дома в 2 ЖК
182,Стрелецкая Слобода,https://www.cian.ru/zastroishchik-streletskaia-sloboda-11091/,3 дома в 2 ЖК
183,АО «ЖСИ»,https://www.cian.ru/zastroishchik-ao-zhsi-7598/,43 дома в 28 ЖК
184,SISDevelopment,https://www.cian.ru/zastroishchik-sisdevelopment-18274/,1 дом в 1 ЖК
185,РусСтройГруп,https://www.cian.ru/zastroishchik-russtroigrup-7825/,9 домов в 5 ЖК
186,ГК Патек Групп,https://www.cian.ru/zastroishchik-gk-patek-grupp-10880/,8 домов в 5 ЖК
187,Э.К. Девелопмент,https://www.cian.ru/zastroishchik-e-k-development-16039/,16 домов в 2 ЖК
188,Виртус-Р,https://www.cian.ru/zastroishchik-virtus-r-16012/,4 дома в 1 ЖК
189,НИИМосстрой,https://www.cian.ru/zastroishchik-niimosstroi-16563/,4 дома в 1 ЖК
190,Rosinka International Group,https://www.cian.ru/zastroishchik-rosinka-international-group-9715/,18 домов в 1 ЖК
191,,https://www.cian.ru/zastroishchik-edelveis-moskva-16249/,3 дома в 1 ЖК
192,,https://www.cian.ru/zastroishchik-sz-grand-18971/,1 дом в 1 ЖК
193,,https://www.cian.ru/zastroishchik-sz-lomonosov-development-17677/,3 дома в 1 ЖК
194,,https://www.cian.ru/zastroishchik-sz-novoe-vremia-khimki-18502/,4 дома в 2 ЖК
195,,https://www.cian.ru/zastroishchik-ooo-sz-delo-18904/,3 дома в 1 ЖК
196,,https://www.cian.ru/zastroishchik-ezks-17910/,1 дом в 1 ЖК
197,,https://www.cian.ru/zastroishchik-kontsept-immo-development-18730/,10 домов в 1 ЖК
198,,https://www.cian.ru/zastroishchik-sz-montazhstroi-19117/,9 домов в 1 ЖК
199,,https://www.cian.ru/zastroishchik-metrofond-development-18509/,1 дом в 1 ЖК
200,,https://www.cian.ru/zastroishchik-uk-setstroi-balashikha-17781/,2 дома в 1 ЖК
201,,https://www.cian.ru/zastroishchik-avrora-17811/,36 домов в 1 ЖК
202,,https://www.cian.ru/zastroishchik-sz-malakhovkainveststroi-18795/,1 дом в 1 ЖК
203,,https://www.cian.ru/zastroishchik-sz-marusino-19182/,2 дома в 1 ЖК
204,,https://www.cian.ru/zastroishchik-sz-tpu-elektrozavodskaia-17139/,3 дома в 1 ЖК
205,,https://www.cian.ru/zastroishchik-tpu-shelepikha-17168/,1 дом в 1 ЖК
206,,https://www.cian.ru/zastroishchik-sz-servisvertikal-17110/,2 дома в 1 ЖК
207,,https://www.cian.ru/zastroishchik-sz-vellbi-17680/,1 дом в 1 ЖК
208,,https://www.cian.ru/zastroishchik-sz-smu-29-17978/,1 дом в 1 ЖК
209,,https://www.cian.ru/zastroishchik-pioner-finans-17196/,2 дома в 1 ЖК
210,,https://www.cian.ru/zastroishchik-e-development-17130/,1 дом в 1 ЖК
211,,https://www.cian.ru/zastroishchik-sz-grad-plaza-19453/,3 дома в 1 ЖК
212,,https://www.cian.ru/zastroishchik-sz-magi-15724/,33 дома в 1 ЖК
213,,https://www.cian.ru/zastroishchik-sz-novyi-format-17607/,1 дом в 1 ЖК
214,YIT Санкт-Петербург,https://www.cian.ru/zastroishchik-yit-sankt-peterburg-8165/,58 домов в 21 ЖК
215,State Development,https://www.cian.ru/zastroishchik-state-development-8185/,1 дом в 1 ЖК
216,Строитель-плюс,https://www.cian.ru/zastroishchik-stroitel-plius-8188/,5 домов в 3 ЖК
217,Молния-М,https://www.cian.ru/zastroishchik-molniia-m-8190/,5 домов в 3 ЖК
218,Спецспортпроект,https://www.cian.ru/zastroishchik-spetssportproekt-14910/,5 домов в 1 ЖК
219,ГК Aspir,https://www.cian.ru/zastroishchik-gk-aspir-16714/,4 дома в 1 ЖК
220,Pragma Development,https://www.cian.ru/zastroishchik-pragma-development-5357/,4 дома в 1 ЖК
221,Первый строительный трест,https://www.cian.ru/zastroishchik-pervyi-stroitelnyi-trest-2826/,5 домов в 2 ЖК
222,Парк-Сервис,https://www.cian.ru/zastroishchik-park-servis-9413/,3 дома в 1 ЖК
223,КапиталТраст Девелопмент,https://www.cian.ru/zastroishchik-kapitaltrast-development-9622/,1 дом в 1 ЖК
224,ГК Крон-М,https://www.cian.ru/zastroishchik-gk-kron-m-9656/,2 дома в 2 ЖК
225,СЗ Казачий торговый дом,https://www.cian.ru/zastroishchik-sz-kazachii-torgovyi-dom-9657/,2 дома в 2 ЖК
226,СпецВысотСтрой,https://www.cian.ru/zastroishchik-spetsvysotstroi-9532/,12 домов в 1 ЖК
227,STRABAG,https://www.cian.ru/zastroishchik-strabag-9536/,3 дома в 3 ЖК
228,ОстИнвестСтрой,https://www.cian.ru/zastroishchik-ostinveststroi-9537/,2 дома в 2 ЖК
229,ЕВРОСИБСПЕЦСТРОЙ,https://www.cian.ru/zastroishchik-evrosibspetsstroi-7594/,3 дома в 3 ЖК
230,Гиза XXI век,https://www.cian.ru/zastroishchik-giza-xxi-vek-9696/,2 дома в 2 ЖК
231,Vesta Development,https://www.cian.ru/zastroishchik-vesta-development-14474/,1 дом в 1 ЖК
232,Строй Вест,https://www.cian.ru/zastroishchik-stroi-vest-8194/,4 дома в 1 ЖК
233,УС-200,https://www.cian.ru/zastroishchik-us-200-9403/,1 дом в 1 ЖК
234,СТРОЙ-ЭКСПЕРТ,https://www.cian.ru/zastroishchik-stroi-ekspert-9409/,3 дома в 1 ЖК
235,Промстройбетон,https://www.cian.ru/zastroishchik-promstroibeton-9411/,11 домов в 2 ЖК
236,СЗ Партнерство,https://www.cian.ru/zastroishchik-sz-partnerstvo-9412/,6 домов в 1 ЖК
237,Pragma Development,https://www.cian.ru/zastroishchik-pragma-development-5357/,4 дома в 1 ЖК
238,Первый строительный трест,https://www.cian.ru/zastroishchik-pervyi-stroitelnyi-trest-2826/,5 домов в 2 ЖК
239,Парк-Сервис,https://www.cian.ru/zastroishchik-park-servis-9413/,3 дома в 1 ЖК
240,Экономтрансстрой,https://www.cian.ru/zastroishchik-ekonomtransstroi-8047/,1 дом в 1 ЖК
241,LandLogic,https://www.cian.ru/zastroishchik-landlogic-9170/,2 дома в 1 ЖК
242,ПЦЭСТ,https://www.cian.ru/zastroishchik-ptsest-14663/,1 дом в 1 ЖК
243,Уфимская строительная компания,https://www.cian.ru/zastroishchik-ufimskaia-stroitelnaia-kompaniia-9623/,1 дом в 1 ЖК
244,Воскресенский домостроительный комбинат,https://www.cian.ru/zastroishchik-voskresenskii-domostroitelnyi-kombinat-7178/,14 домов в 9 ЖК
245,Белая Дача,https://www.cian.ru/zastroishchik-belaia-dacha-8535/,9 домов в 1 ЖК
246,Галактик М,https://www.cian.ru/zastroishchik-galaktik-m-8545/,1 дом в 1 ЖК
247,ИНТЕКО,https://www.cian.ru/zastroishchik-inteko-7044/,117 домов в 21 ЖК
248,ГРАС,https://www.cian.ru/zastroishchik-gras-7054/,5 домов в 4 ЖК
249,РАСТ,https://www.cian.ru/zastroishchik-rast-7055/,29 домов в 1 ЖК
250,Даверна,https://www.cian.ru/zastroishchik-daverna-9438/,2 дома в 1 ЖК
251,Дмитровские горизонты,https://www.cian.ru/zastroishchik-dmitrovskie-gorizonty-9439/,7 домов в 1 ЖК
252,Мособлинтерстрой,https://www.cian.ru/zastroishchik-mosoblinterstroi-9444/,10 домов в 1 ЖК
253,Микрорайон Кантри,https://www.cian.ru/zastroishchik-mikroraion-kantri-8446/,46 домов в 1 ЖК
254,АВС Инвест,https://www.cian.ru/zastroishchik-avs-invest-8449/,1 дом в 1 ЖК
255,Русский стиль,https://www.cian.ru/zastroishchik-russkii-stil-1085/,1 дом в 1 ЖК
256,Интер Союз,https://www.cian.ru/zastroishchik-inter-soiuz-177/,1 дом в 1 ЖК
257,БронИнвестСтрой,https://www.cian.ru/zastroishchik-broninveststroi-9415/,1 дом в 1 ЖК
258,ВЕЯ Строй,https://www.cian.ru/zastroishchik-veia-stroi-9416/,6 домов в 3 ЖК
259,Гавань,https://www.cian.ru/zastroishchik-gavan-9417/,16 домов в 1 ЖК
260,Glincom,https://www.cian.ru/zastroishchik-glincom-8233/,6 домов в 6 ЖК
261,ЖСК Сходня,https://www.cian.ru/zastroishchik-zhsk-skhodnia-9779/,4 дома в 2 ЖК
262,Римэка,https://www.cian.ru/zastroishchik-rimeka-9782/,7 домов в 1 ЖК
263,Заречье-девелопмент,https://www.cian.ru/zastroishchik-zareche-development-9783/,6 домов в 1 ЖК
264,ГК Фобос,https://www.cian.ru/zastroishchik-gk-fobos-9785/,3 дома в 2 ЖК
